nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;10876;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;16821;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;20097;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;1572;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;116;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;3708;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;9628;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;12189;"Dollar Amerika"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;470000;Emas<sup>1</sup>
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2013;Tahun;-;"Gulden Belanda"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;10218;"Dollar Australian "
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;15133;Euro
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;19370;"Pound sterling Inggris"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;1604;"Dollar Hongkong"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;104;"Yen Jepang"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;3562;"Ringgit Malaysia"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;9422;"Dollar Singapura"
"Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta";"Tidak Ada";2014;Tahun;12440;"Dollar Amerika"
