Date,Open,High,Low,Close,Adj Close,Volume
2019-10-23,8790.000000,8865.000000,8705.000000,8855.000000,8282.799805,7454000
2019-10-24,8860.000000,8865.000000,8800.000000,8855.000000,8282.799805,12462500
2019-10-25,8855.000000,8855.000000,8605.000000,8630.000000,8072.337402,16448000
2019-10-28,8640.000000,8750.000000,8640.000000,8700.000000,8137.814453,7270000
2019-10-29,8700.000000,8720.000000,8660.000000,8715.000000,8151.845703,10711000
2019-10-30,8850.000000,8850.000000,8620.000000,8720.000000,8156.522949,10075500
2019-10-31,8780.000000,8810.000000,8700.000000,8745.000000,8179.907227,10841500
2019-11-01,8650.000000,8740.000000,8650.000000,8740.000000,8175.229980,5072500
2019-11-04,8745.000000,8765.000000,8605.000000,8605.000000,8048.954102,6687500
2019-11-05,8680.000000,8770.000000,8620.000000,8770.000000,8203.291016,8690500
2019-11-06,8770.000000,8770.000000,8655.000000,8690.000000,8128.460449,6230500
2019-11-07,8760.000000,8760.000000,8620.000000,8670.000000,8109.753906,8469000
2019-11-08,8660.000000,8665.000000,8615.000000,8630.000000,8072.337402,5199500
2019-11-11,8640.000000,8655.000000,8595.000000,8655.000000,8095.721680,5530500
2019-11-12,8655.000000,8655.000000,8560.000000,8640.000000,8081.692383,7759000
2019-11-13,8630.000000,8630.000000,8460.000000,8465.000000,7918.000000,9261000
2019-11-14,8470.000000,8560.000000,8470.000000,8560.000000,8006.861328,5768500
2019-11-15,8515.000000,8515.000000,8440.000000,8445.000000,7899.292480,9221000
2019-11-18,8445.000000,8455.000000,8400.000000,8430.000000,7885.262207,7779500
2019-11-19,8430.000000,8560.000000,8420.000000,8560.000000,8006.861328,6868000
2019-11-20,8530.000000,8540.000000,8425.000000,8510.000000,7960.091797,7245000
2019-11-21,8500.000000,8500.000000,8400.000000,8405.000000,7861.877441,11587500
2019-11-22,8405.000000,8475.000000,8400.000000,8430.000000,7885.262207,6406500
2019-11-25,8420.000000,8445.000000,8355.000000,8415.000000,7871.230957,8773500
2019-11-26,8460.000000,8460.000000,8300.000000,8300.000000,7763.662598,34735000
2019-11-27,8300.000000,8400.000000,8200.000000,8200.000000,7670.123535,8223000
2019-11-28,8200.000000,8430.000000,8200.000000,8360.000000,7819.784668,9734000
2019-11-29,8330.000000,8470.000000,8325.000000,8360.000000,7819.784668,10553000
2019-12-02,8360.000000,8570.000000,8360.000000,8570.000000,8016.215820,9898000
2019-12-03,8530.000000,8560.000000,8420.000000,8535.000000,8064.402832,6575000
2019-12-04,8520.000000,8520.000000,8390.000000,8400.000000,7936.847168,8455000
2019-12-05,8400.000000,8500.000000,8400.000000,8430.000000,7965.192871,5020000
2019-12-06,8420.000000,8460.000000,8400.000000,8450.000000,7984.088867,6634500
2019-12-09,8450.000000,8470.000000,8420.000000,8455.000000,7988.812988,6782000
2019-12-10,8455.000000,8465.000000,8415.000000,8435.000000,7969.916992,10179000
2019-12-11,8500.000000,8500.000000,8365.000000,8420.000000,7955.743164,8613500
2019-12-12,8350.000000,8420.000000,8200.000000,8200.000000,7747.873535,13365500
2019-12-13,8280.000000,8300.000000,8200.000000,8245.000000,7790.393066,12891500
2019-12-16,8250.000000,8275.000000,8180.000000,8180.000000,7728.976563,12503000
2019-12-17,8180.000000,8225.000000,8180.000000,8195.000000,7743.149902,10837000
2019-12-18,8195.000000,8205.000000,8120.000000,8185.000000,7733.700684,15872500
2019-12-19,8185.000000,8210.000000,8110.000000,8140.000000,7691.182129,14785500
2019-12-20,8140.000000,8325.000000,8070.000000,8325.000000,7865.981445,19230000
2019-12-23,8325.000000,8335.000000,8180.000000,8330.000000,7870.706055,11073000
2019-12-26,8330.000000,8500.000000,8330.000000,8490.000000,8021.883789,9169000
2019-12-27,8500.000000,8580.000000,8500.000000,8560.000000,8088.024414,7352500
2019-12-30,8560.000000,8595.000000,8400.000000,8400.000000,7936.847168,13919000
2020-01-02,8500.000000,8700.000000,8500.000000,8550.000000,8078.576172,11059800
2020-01-03,8675.000000,8675.000000,8550.000000,8575.000000,8102.198242,8071700
2020-01-06,8575.000000,8600.000000,8350.000000,8475.000000,8007.711426,7913300
2020-01-07,8475.000000,8500.000000,8400.000000,8450.000000,7984.088867,5793000
2020-01-08,8450.000000,8450.000000,8275.000000,8325.000000,7865.981445,8261400
2020-01-09,8350.000000,8425.000000,8250.000000,8350.000000,7889.603027,9224300
2020-01-10,8400.000000,8400.000000,8250.000000,8250.000000,7795.116699,14849800
2020-01-13,8275.000000,8400.000000,8275.000000,8400.000000,7936.847168,8904800
2020-01-14,8400.000000,8500.000000,8300.000000,8475.000000,8007.711426,11761100
2020-01-15,8475.000000,8525.000000,8350.000000,8475.000000,8007.711426,14965200
2020-01-16,8475.000000,8475.000000,8350.000000,8425.000000,7960.468262,9151100
2020-01-17,8425.000000,8425.000000,8350.000000,8400.000000,7936.847168,5501800
2020-01-20,8400.000000,8425.000000,8325.000000,8325.000000,7865.981445,5343800
2020-01-21,8325.000000,8375.000000,8300.000000,8325.000000,7865.981445,5211000
2020-01-22,8375.000000,8375.000000,8225.000000,8300.000000,7842.360352,4975800
